x,y,type,radius,time
0,0,EXPLOSION,694.9749340296386,2022-05-01T05:00:00.000Z
0,0,SIREN,373.23613178449756,2022-05-01T05:00:00.000Z
0,0,DOG,550.6211450095166,2022-05-01T15:00:00.000Z
0,0,EXPLOSION,1226.3701354515883,2022-05-02T01:00:00.000Z
0,0,BIRD,108.36848913737334,2022-05-02T11:00:00.000Z
0,0,BIRD,744.7790612228055,2022-05-03T21:00:00.000Z
0,0,BIRD,387.54848585835765,2022-05-05T05:00:00.000Z
0,0,TRAFFIC,1126.3803883031721,2022-05-05T05:00:00.000Z
0,0,SIREN,562.9126087926523,2022-05-05T15:00:00.000Z
0,0,SIREN,519.0097266411569,2022-05-06T01:00:00.000Z
0,0,DOG,1206.4554985915015,2022-05-06T11:00:00.000Z
0,0,DOG,1467.2755243392191,2022-05-07T21:00:00.000Z
0,0,DOG,932.4147300712931,2022-05-08T05:00:00.000Z
0,0,SIREN,404.8629554619703,2022-05-08T05:00:00.000Z
0,0,TRAFFIC,498.5747865347515,2022-05-08T15:00:00.000Z
0,0,EXPLOSION,1238.8762394603339,2022-05-09T01:00:00.000Z
0,0,BIRD,1369.3157251910875,2022-05-09T11:00:00.000Z
0,0,SIREN,434.08712266209096,2022-05-10T21:00:00.000Z
0,0,EXPLOSION,355.34191176349566,2022-05-10T05:00:00.000Z
0,0,BIRD,1187.4841014025371,2022-05-10T05:00:00.000Z
0,0,DOG,1452.2466758865419,2022-05-10T15:00:00.000Z
0,0,BIRD,1193.4416033564994,2022-05-11T01:00:00.000Z
0,0,DOG,651.5939418878696,2022-05-11T11:00:00.000Z
0,0,BIRD,907.092397695091,2022-05-12T21:00:00.000Z
0,0,SIREN,675.6638353347885,2022-05-11T05:00:00.000Z
0,0,SIREN,587.8914316736156,2022-05-11T05:00:00.000Z
0,0,EXPLOSION,1174.2985697873066,2022-05-11T15:00:00.000Z
0,0,SIREN,705.7979425541241,2022-05-12T01:00:00.000Z
0,0,TRAFFIC,269.5622446213655,2022-05-12T11:00:00.000Z
0,0,BIRD,858.2450321518814,2022-05-13T21:00:00.000Z
0,0,DOG,1331.4711116721962,2022-05-11T05:00:00.000Z
0,0,DOG,745.2551327930552,2022-05-11T05:00:00.000Z
0,0,BIRD,1477.0119696297277,2022-05-11T15:00:00.000Z
0,0,TRAFFIC,81.82960687684414,2022-05-12T01:00:00.000Z
0,0,BIRD,1187.846594926718,2022-05-12T11:00:00.000Z
0,0,SIREN,54.4118578488373,2022-05-13T21:00:00.000Z
0,0,TRAFFIC,1231.9299969616686,2022-05-10T05:00:00.000Z
0,0,TRAFFIC,172.47399466094555,2022-05-10T05:00:00.000Z
0,0,BIRD,1174.0443790362976,2022-05-10T15:00:00.000Z
30.391059282874014,50.486378319312806,EXPLOSION,1769.9810325271267,2022-05-11T01:00:00.000Z
0,0,EXPLOSION,785.0126611070422,2022-05-11T11:00:00.000Z
0,0,DOG,516.010794296207,2022-05-12T21:00:00.000Z
